University Name,Degree Focus,Link
"University of California, San Diego",Computer Science,https://yocket.in/applications-admits-rejects/219-university-of-california-san-diego/2
"University of California, San Diego",Data Science,https://yocket.in/applications-admits-rejects/1004-university-of-california-san-diego/2
"University of California, Berkeley",Computer Science,https://yocket.in/applications-admits-rejects/281-university-of-california-berkeley/2
"University of California, Davis",Computer Science,https://yocket.in/applications-admits-rejects/394-university-of-california-davis/2
"University of California, Irvine",Computer Science,https://yocket.in/applications-admits-rejects/264-university-of-california-irvine/2
"University of California, Los Angeles",Computer Science,https://yocket.in/applications-admits-rejects/53-university-of-california-los-angeles/2
"University of California, Riverside",Computer Science,https://yocket.in/applications-admits-rejects/664-university-of-california-riverside/2
"University of California, Santa Barbara",Computer Science,https://yocket.in/applications-admits-rejects/59-university-of-california-santa-barbara/2
"University of California, Santa Cruz",Computer Science,https://yocket.in/applications-admits-rejects/668-university-of-california-santa-cruz/2
Stanford University,Computer Science,https://yocket.in/applications-admits-rejects/210-stanford-university/2
University of Southern California,Computer Science,https://yocket.in/applications-admits-rejects/168-university-of-southern-california/2
Santa Clara University,Computer Science,https://yocket.in/applications-admits-rejects/67150-santa-clara-university/2
California State University - Long Beach,Computer Science,https://yocket.in/applications-admits-rejects/1870-california-state-university-long-beach/2
San Jose State University,Computer Science,https://yocket.in/applications-admits-rejects/2212-san-jose-state-university/2
California State University - Chico,Computer Science,https://yocket.in/applications-admits-rejects/46217-california-state-university-chico/2
San Francisco State University,Computer Science,https://yocket.in/applications-admits-rejects/2200-san-francisco-state-university/2
Cornell University,Computer Science,https://yocket.in/applications-admits-rejects/239-cornell-university/2
Columbia University,Computer Science,https://yocket.in/applications-admits-rejects/64-columbia-university/2
New York University,Computer Science,https://yocket.in/applications-admits-rejects/588-new-york-university/2
University of Rochester,Computer Science,https://yocket.in/applications-admits-rejects/748-university-of-rochester/2
Yale University,Computer Science,https://yocket.in/applications-admits-rejects/820-yale-university/2
Princeton University,Computer Science,https://yocket.in/applications-admits-rejects/505-princeton-university/2
Purdue University,Computer Science,https://yocket.in/applications-admits-rejects/183-purdue-university-west-lafayette/2
Carnegie Mellon University,Computer Science,https://yocket.in/applications-admits-rejects/9-carnegie-mellon-university/2
Georgia Tech,Computer Science,https://yocket.in/applications-admits-rejects/18-georgia-institute-of-technology/2
Massachusetts Institute of Technology,Computer Science,https://yocket.in/applications-admits-rejects/27-massachusetts-institute-of-technology/2
